date,previous_directional_state,current_directional_state,event,spy_close
2017-09-06,bull,bear,BULL_TO_BEAR,246.9
2017-09-25,bear,bull,BEAR_TO_BULL,248.93
2017-10-09,bull,bear,BULL_TO_BEAR,253.95
2017-10-16,bear,bull,BEAR_TO_BULL,255.29
2017-11-08,bull,bear,BULL_TO_BEAR,259.11
2017-11-09,bear,bull,BEAR_TO_BULL,258.17
2017-11-28,bull,bear,BULL_TO_BEAR,262.87
2017-12-22,bear,bull,BEAR_TO_BULL,267.51
2018-01-11,bull,bear,BULL_TO_BEAR,276.12
2018-05-24,bear,bull,BEAR_TO_BULL,272.8
2018-06-08,bull,bear,BULL_TO_BEAR,278.19
2018-06-21,bear,bull,BEAR_TO_BULL,274.24
2018-06-26,bull,bear,BULL_TO_BEAR,271.6
2018-07-06,bear,bull,BEAR_TO_BULL,275.42
2018-07-12,bull,bear,BULL_TO_BEAR,279.37
2018-07-24,bear,bull,BEAR_TO_BULL,281.61
2018-08-09,bull,bear,BULL_TO_BEAR,285.07
2018-08-15,bear,bull,BEAR_TO_BULL,281.78
2018-08-31,bull,bear,BULL_TO_BEAR,290.31
2018-09-11,bear,bull,BEAR_TO_BULL,289.05
2018-10-11,bull,bear,BULL_TO_BEAR,272.17
2019-01-24,bear,bull,BEAR_TO_BULL,263.55
2019-02-07,bull,bear,BULL_TO_BEAR,270.14
2019-02-12,bear,bull,BEAR_TO_BULL,274.1
2019-02-22,bull,bear,BULL_TO_BEAR,279.14
2019-02-26,bear,bull,BEAR_TO_BULL,279.32
2019-03-21,bull,bear,BULL_TO_BEAR,284.73
2019-03-27,bear,bull,BEAR_TO_BULL,279.65
2019-04-10,bull,bear,BULL_TO_BEAR,288.29
2019-04-15,bear,bull,BEAR_TO_BULL,289.97
2019-05-09,bull,bear,BULL_TO_BEAR,286.66
2019-05-22,bear,bull,BEAR_TO_BULL,285.63
2019-05-30,bull,bear,BULL_TO_BEAR,279.03
2019-06-19,bear,bull,BEAR_TO_BULL,293.06
2019-06-25,bull,bear,BULL_TO_BEAR,290.76
2019-06-28,bear,bull,BEAR_TO_BULL,293.0
2019-07-08,bull,bear,BULL_TO_BEAR,296.82
2019-07-12,bear,bull,BEAR_TO_BULL,300.65
2019-08-05,bull,bear,BULL_TO_BEAR,283.82
2019-08-30,bear,bull,BEAR_TO_BULL,292.45
2019-09-11,bull,bear,BULL_TO_BEAR,300.25
2019-09-18,bear,bull,BEAR_TO_BULL,301.1
2019-10-03,bull,bear,BULL_TO_BEAR,290.42
2019-10-11,bear,bull,BEAR_TO_BULL,296.28
2019-10-17,bull,bear,BULL_TO_BEAR,299.28
2019-10-24,bear,bull,BEAR_TO_BULL,300.37
2019-12-23,bull,bear,BULL_TO_BEAR,321.22
2019-12-26,bear,bull,BEAR_TO_BULL,322.94
2020-01-22,bull,bear,BULL_TO_BEAR,331.34
2020-02-20,bear,bull,BEAR_TO_BULL,336.95
2020-02-25,bull,bear,BULL_TO_BEAR,312.65
