decision_date,last_bar_used,n_bars,n_obs,today_regime,bear_state,bull_state,vol_ratio,ret_ratio,confidence_pass,raw_decision,previous_raw_decision,decision_changed,transition_type,error
2000-03-16,2000-03-15,51,41,0,0,1,1.0,0.0941255713280515,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2000-03-17,2000-03-16,52,42,2,0,2,0.8077749388834781,0.9990123421075244,True,bull,neutral,True,NEUTRAL_TO_BULL,
2000-03-20,2000-03-17,53,43,1,2,0,0.9837048209051632,0.2449657460531238,False,neutral,bull,True,BULL_TO_NEUTRAL,
2000-03-24,2000-03-23,57,47,0,1,0,0.9968925369693192,0.6382666762888172,True,bull,neutral,True,NEUTRAL_TO_BULL,
2000-03-28,2000-03-27,59,49,1,0,2,0.999999999957592,0.2376296980656242,False,neutral,bull,True,BULL_TO_NEUTRAL,
2000-04-13,2000-04-12,71,61,2,2,0,0.9970736840646756,0.5251710731729597,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2000-04-17,2000-04-14,73,63,1,1,2,0.2925482855688976,0.9998943519553464,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2000-04-19,2000-04-18,75,65,1,0,1,1.0,0.6591014540503277,True,bull,neutral,True,NEUTRAL_TO_BULL,
2000-04-20,2000-04-19,76,66,1,0,2,0.9999999989395362,0.2727461186550285,False,neutral,bull,True,BULL_TO_NEUTRAL,
2000-05-11,2000-05-10,90,80,2,2,1,0.7092104947602844,0.5473886159122213,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2000-05-12,2000-05-11,91,81,2,2,1,0.9080321814108624,0.2661924505203331,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2000-05-22,2000-05-19,97,87,1,1,0,0.9200371659873796,0.6594055918744588,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2000-05-23,2000-05-22,98,88,1,1,2,0.9976359941459028,0.4083891521592815,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2000-06-09,2000-06-08,110,100,0,0,1,0.7743790168561545,0.6521513071698375,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2000-06-13,2000-06-12,112,102,2,0,1,0.9757619251487872,0.4639271218832807,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2000-07-31,2000-07-28,145,135,2,2,1,0.6147734917988282,0.5104573080920928,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2000-08-01,2000-07-31,146,136,2,0,1,0.425238475774592,0.4017514853511657,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2000-08-14,2000-08-11,155,145,0,1,2,0.9690190766577678,0.6211496785492368,True,bull,neutral,True,NEUTRAL_TO_BULL,
2000-08-16,2000-08-15,157,147,2,2,0,0.982143341193441,0.3635045612003679,False,neutral,bull,True,BULL_TO_NEUTRAL,
2000-08-30,2000-08-29,167,157,0,1,2,1.0,0.5020353193351765,True,bull,neutral,True,NEUTRAL_TO_BULL,
2000-08-31,2000-08-30,168,158,0,1,2,1.0,0.3812440867469538,False,neutral,bull,True,BULL_TO_NEUTRAL,
2000-09-05,2000-09-01,170,160,0,2,1,1.0,0.5045564354625539,True,bull,neutral,True,NEUTRAL_TO_BULL,
2000-09-06,2000-09-05,171,161,1,0,2,1.0,0.4127931068382829,False,neutral,bull,True,BULL_TO_NEUTRAL,
2000-09-18,2000-09-15,179,169,2,2,1,1.0,0.5939957791512406,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2000-09-19,2000-09-18,180,170,2,2,1,1.0,0.3777312305807274,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2000-09-22,2000-09-21,183,173,2,2,1,0.814879065145799,0.5042148408398915,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2000-09-25,2000-09-22,184,174,0,0,2,1.0,0.3686695906644961,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2000-10-11,2000-10-10,196,186,1,1,2,1.0,0.5140547773345291,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2000-10-12,2000-10-11,197,187,2,2,1,0.3855127664006735,0.3606336708523567,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2000-10-26,2000-10-25,207,197,2,2,1,0.8305321454810989,0.5539751170320494,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2000-10-27,2000-10-26,208,198,2,2,1,0.9900321696487626,0.2895203751418803,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2000-11-10,2000-11-09,218,208,1,0,2,1.0,0.5876944008465851,True,bull,neutral,True,NEUTRAL_TO_BULL,
2000-11-13,2000-11-10,219,209,1,0,2,0.9922708145813826,0.1870715985428523,False,neutral,bull,True,BULL_TO_NEUTRAL,
2000-11-24,2000-11-22,227,217,2,2,1,0.9364533008095842,0.559200634098707,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2000-11-27,2000-11-24,228,218,2,2,1,0.9883593600257156,0.3806360636741079,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2000-11-29,2000-11-28,230,220,2,2,1,0.9676560153655844,0.5135229623520832,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2000-11-30,2000-11-29,231,221,0,0,1,0.9931010464454996,0.2893672163766495,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2000-12-18,2000-12-15,243,233,2,2,0,0.9390082811466676,0.540750285753492,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2000-12-19,2000-12-18,244,234,0,0,1,0.9681161685457492,0.3468317983444304,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2000-12-26,2000-12-22,248,238,1,0,1,0.8701456013581977,0.5899244471683115,True,bull,neutral,True,NEUTRAL_TO_BULL,
2000-12-27,2000-12-26,249,239,2,1,2,1.0,0.3772528759011773,False,neutral,bull,True,BULL_TO_NEUTRAL,
2001-01-02,2000-12-29,252,242,1,1,2,0.9152913874931502,0.5583650510995972,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2001-01-04,2001-01-03,254,244,1,0,2,0.8523681645496729,0.2493949308402296,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2001-01-26,2001-01-25,269,259,0,2,1,0.9999999696948124,0.5002491210332414,True,bull,neutral,True,NEUTRAL_TO_BULL,
2001-01-29,2001-01-26,270,260,0,0,1,0.999758959934367,0.4617386598443244,False,neutral,bull,True,BULL_TO_NEUTRAL,
2001-02-27,2001-02-26,290,280,2,1,2,1.0,0.5736850307194589,True,bull,neutral,True,NEUTRAL_TO_BULL,
2001-02-28,2001-02-27,291,281,2,0,2,0.8566052567295028,0.2333576923002737,False,neutral,bull,True,BULL_TO_NEUTRAL,
2001-03-20,2001-03-19,305,295,1,2,1,1.0,0.5381521829984508,True,bull,neutral,True,NEUTRAL_TO_BULL,
2001-03-22,2001-03-21,307,297,2,1,2,1.0,0.3513345101819951,False,neutral,bull,True,BULL_TO_NEUTRAL,
2001-03-26,2001-03-23,309,299,2,0,2,0.4825296598657884,0.7566488890665699,True,bull,neutral,True,NEUTRAL_TO_BULL,
2001-03-27,2001-03-26,310,300,2,0,2,0.3178438720396472,0.3517113474220835,False,neutral,bull,True,BULL_TO_NEUTRAL,
2001-04-19,2001-04-18,326,316,1,2,1,1.0,0.8309418196444851,True,bull,neutral,True,NEUTRAL_TO_BULL,
2001-04-20,2001-04-19,327,317,2,0,2,1.0,0.3648640067742145,False,neutral,bull,True,BULL_TO_NEUTRAL,
2001-07-17,2001-07-16,387,377,0,0,2,0.5034232925924964,0.6436330588797812,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2001-07-18,2001-07-17,388,378,2,0,2,0.4852794993695904,0.6384291073462649,True,bull,bear,True,BEAR_TO_BULL,
2001-07-19,2001-07-18,389,379,0,0,1,1.0,0.4270533927932284,False,neutral,bull,True,BULL_TO_NEUTRAL,
2001-08-24,2001-08-23,415,405,0,0,1,0.4421939163091873,0.6301575587508207,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2001-08-27,2001-08-24,416,406,0,0,1,0.4229795728238986,0.1617649964469504,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2001-09-18,2001-09-17,427,417,2,0,2,1.0,0.942466532010635,True,bull,neutral,True,NEUTRAL_TO_BULL,
2001-09-19,2001-09-18,428,418,1,0,1,1.0,0.213955228819346,False,neutral,bull,True,BULL_TO_NEUTRAL,
2001-09-21,2001-09-20,430,420,1,0,1,1.0,0.6051712872788856,True,bull,neutral,True,NEUTRAL_TO_BULL,
2001-09-24,2001-09-21,431,421,2,0,2,1.0,0.3111874734683659,False,neutral,bull,True,BULL_TO_NEUTRAL,
2001-09-25,2001-09-24,432,422,1,2,1,1.0,0.8280776746717587,True,bull,neutral,True,NEUTRAL_TO_BULL,
2001-09-26,2001-09-25,433,423,2,1,2,1.0,0.2855194170161635,False,neutral,bull,True,BULL_TO_NEUTRAL,
2001-12-14,2001-12-13,489,479,2,2,0,0.4943262548619558,0.6391825854066295,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2001-12-17,2001-12-14,490,480,2,2,1,1.0,0.3400717265646383,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2002-06-03,2002-05-31,604,594,1,0,1,0.6216583457291286,0.5470431392474212,True,bull,neutral,True,NEUTRAL_TO_BULL,
2002-06-04,2002-06-03,605,595,1,1,0,0.1936954622797277,0.1571030218006024,False,neutral,bull,True,BULL_TO_NEUTRAL,
2002-06-17,2002-06-14,614,604,0,2,0,0.5991681319568908,0.5174783984402977,True,bull,neutral,True,NEUTRAL_TO_BULL,
2002-06-18,2002-06-17,615,605,0,0,2,0.9415892080444,0.0804417545449603,False,neutral,bull,True,BULL_TO_NEUTRAL,
2002-07-19,2002-07-18,637,627,2,1,2,1.0,0.6897589256056534,True,bull,neutral,True,NEUTRAL_TO_BULL,
2002-07-26,2002-07-25,642,632,2,1,2,1.0,0.2392543956097205,False,neutral,bull,True,BULL_TO_NEUTRAL,
2002-07-30,2002-07-29,644,634,0,1,0,1.0,0.992055366206266,True,bull,neutral,True,NEUTRAL_TO_BULL,
2002-07-31,2002-07-30,645,635,2,0,2,1.0,0.3198734949878843,False,neutral,bull,True,BULL_TO_NEUTRAL,
2002-08-02,2002-08-01,647,637,2,1,2,1.0,0.5101593856008053,True,bull,neutral,True,NEUTRAL_TO_BULL,
2002-08-05,2002-08-02,648,638,1,2,1,1.0,0.4426977308966223,False,neutral,bull,True,BULL_TO_NEUTRAL,
2002-08-06,2002-08-05,649,639,1,0,1,1.0,0.7866590423337261,True,bull,neutral,True,NEUTRAL_TO_BULL,
2002-08-08,2002-08-07,651,641,2,1,2,0.3839150657022387,0.3795525983915175,False,neutral,bull,True,BULL_TO_NEUTRAL,
2002-10-16,2002-10-15,699,689,2,0,2,0.8727796702675089,0.966069600932816,True,bull,neutral,True,NEUTRAL_TO_BULL,
2002-10-17,2002-10-16,700,690,1,2,1,0.9997915550746058,0.4602601303658831,False,neutral,bull,True,BULL_TO_NEUTRAL,
2003-03-25,2003-03-24,808,798,1,2,1,0.8728039859388947,0.6248105200700298,True,bull,neutral,True,NEUTRAL_TO_BULL,
2003-03-26,2003-03-25,809,799,2,1,0,0.9354318776549015,0.3579354083480555,False,neutral,bull,True,BULL_TO_NEUTRAL,
2004-07-20,2004-07-19,1140,1130,0,0,2,0.9804207552486432,0.5011415195031813,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2004-07-21,2004-07-20,1141,1131,0,0,2,0.9999996397199524,0.3007138431291088,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2004-08-13,2004-08-12,1158,1148,2,2,1,0.4625101392677769,0.611706017650425,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2004-08-16,2004-08-13,1159,1149,2,0,2,0.9804426290580072,0.3293761380201153,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2005-03-14,2005-03-11,1304,1294,1,1,0,0.3748533613594046,0.6447133821729245,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2005-03-15,2005-03-14,1305,1295,0,1,2,1.0,0.4488595527774524,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2005-06-08,2005-06-07,1364,1354,2,1,0,1.0,0.5009357946675712,True,bull,neutral,True,NEUTRAL_TO_BULL,
2005-06-09,2005-06-08,1365,1355,0,0,2,0.3492216426965359,0.3053437851210313,False,neutral,bull,True,BULL_TO_NEUTRAL,
2005-06-21,2005-06-20,1373,1363,0,2,1,1.0,0.5016955607204493,True,bull,neutral,True,NEUTRAL_TO_BULL,
2005-06-22,2005-06-21,1374,1364,1,2,0,1.0,0.4786232645745711,False,neutral,bull,True,BULL_TO_NEUTRAL,
2005-07-18,2005-07-15,1391,1381,0,2,1,0.6074645940566814,0.5016389471885362,True,bull,neutral,True,NEUTRAL_TO_BULL,
2005-07-19,2005-07-18,1392,1382,0,2,1,0.854274292241075,0.4783932056812437,False,neutral,bull,True,BULL_TO_NEUTRAL,
2005-07-28,2005-07-27,1399,1389,2,0,2,0.4465978703017718,0.5004474102911397,True,bull,neutral,True,NEUTRAL_TO_BULL,
2005-07-29,2005-07-28,1400,1390,0,0,2,0.4491003311929059,0.263681547099004,False,neutral,bull,True,BULL_TO_NEUTRAL,
2005-08-02,2005-08-01,1402,1392,0,2,1,1.0,0.5020116559217148,True,bull,neutral,True,NEUTRAL_TO_BULL,
2005-08-03,2005-08-02,1403,1393,0,1,2,1.0,0.4664414187579337,False,neutral,bull,True,BULL_TO_NEUTRAL,
2005-08-18,2005-08-17,1414,1404,0,2,1,1.0,0.5076313634988467,True,bull,neutral,True,NEUTRAL_TO_BULL,
2005-08-25,2005-08-24,1419,1409,2,1,0,1.0,0.3942226638662395,False,neutral,bull,True,BULL_TO_NEUTRAL,
2005-08-26,2005-08-25,1420,1410,2,1,0,1.0,0.5023294302484245,True,bull,neutral,True,NEUTRAL_TO_BULL,
2005-08-29,2005-08-26,1421,1411,1,2,1,0.981920510191702,0.3813331894825029,False,neutral,bull,True,BULL_TO_NEUTRAL,
2005-08-30,2005-08-29,1422,1412,0,2,0,0.521084993822578,0.5085078128577486,True,bull,neutral,True,NEUTRAL_TO_BULL,
2005-08-31,2005-08-30,1423,1413,0,2,0,0.999999998995435,0.4234612061010401,False,neutral,bull,True,BULL_TO_NEUTRAL,
