decision_date,last_bar_used,n_bars,n_obs,today_regime,bear_state,bull_state,vol_ratio,ret_ratio,confidence_pass,raw_decision,previous_raw_decision,decision_changed,transition_type,error
2000-03-17,2000-03-16,52,42,1,2,1,0.7947593323221968,0.7797843041727021,True,bull,neutral,True,NEUTRAL_TO_BULL,
2000-03-20,2000-03-17,53,43,2,1,2,0.9977018936589125,0.2505667410434089,False,neutral,bull,True,BULL_TO_NEUTRAL,
2000-03-23,2000-03-22,56,46,1,0,2,0.9999960103424156,0.5183578429128732,True,bull,neutral,True,NEUTRAL_TO_BULL,
2000-03-27,2000-03-24,58,48,1,0,1,1.0,0.4918680454615761,False,neutral,bull,True,BULL_TO_NEUTRAL,
2000-04-10,2000-04-07,68,58,0,2,0,0.49947544653294984,0.5160991153562052,True,bull,neutral,True,NEUTRAL_TO_BULL,
2000-04-11,2000-04-10,69,59,0,2,0,0.5283559478744574,0.39735071892029855,False,neutral,bull,True,BULL_TO_NEUTRAL,
2000-04-14,2000-04-13,72,62,2,2,0,1.0,0.6675230392851605,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2000-04-18,2000-04-17,74,64,1,0,2,0.9999999998598916,0.9991917020222878,True,bull,bear,True,BEAR_TO_BULL,
2000-04-19,2000-04-18,75,65,1,2,1,0.9995414192811374,0.4509877838148237,False,neutral,bull,True,BULL_TO_NEUTRAL,
2000-04-27,2000-04-26,80,70,2,2,1,0.6342723158180841,0.7039298978868778,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2000-05-02,2000-05-01,83,73,2,1,0,0.6973859771278424,0.3897712433413378,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2000-05-05,2000-05-04,86,76,1,0,1,0.6958139448044731,0.5993604227769666,True,bull,neutral,True,NEUTRAL_TO_BULL,
2000-05-08,2000-05-05,87,77,2,2,1,0.9344874572077504,0.41169505236121956,False,neutral,bull,True,BULL_TO_NEUTRAL,
2000-05-09,2000-05-08,88,78,1,0,2,1.0,0.5051184848344998,True,bull,neutral,True,NEUTRAL_TO_BULL,
2000-05-11,2000-05-10,90,80,1,0,2,1.0,0.39318830937234733,False,neutral,bull,True,BULL_TO_NEUTRAL,
2000-05-12,2000-05-11,91,81,0,2,0,0.6064921438619012,0.6419303377207588,True,bull,neutral,True,NEUTRAL_TO_BULL,
2000-05-15,2000-05-12,92,82,2,1,0,0.9978543071209696,0.3832757601523008,False,neutral,bull,True,BULL_TO_NEUTRAL,
2000-05-19,2000-05-18,96,86,0,0,2,0.944197402589506,0.6475562765623362,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2000-05-22,2000-05-19,97,87,2,2,1,0.4932901654132717,0.4988609263879137,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2000-05-23,2000-05-22,98,88,2,2,1,0.5258896323320938,0.5014129469863235,True,bear,neutral,True,NEUTRAL_TO_BEAR,
