scenario,stop_equity_pct,peak_date,trough_date,years_underwater,stops_in_window,signal_exits_in_window
reset_before_rebalance,no_stop,2000-03-24,2002-10-09,2.54,0,12
reset_before_rebalance,1,2000-03-24,2009-03-05,8.95,32,7
reset_before_rebalance,2,2000-03-24,2009-03-05,8.95,30,9
reset_before_rebalance,3,2000-03-24,2009-03-05,8.95,28,11
reset_before_rebalance,5,2000-03-24,2009-03-05,8.95,20,18
reset_before_rebalance,7,2000-03-24,2009-03-05,8.95,14,24
reset_before_rebalance,10,2000-03-24,2009-03-05,8.95,8,30
reset_before_rebalance,15,2000-03-24,2009-03-05,8.95,5,33
reset_before_rebalance,20,2000-03-24,2009-02-23,8.92,4,33
rebalance_before_reset,no_stop,2000-03-24,2002-10-09,2.54,0,12
rebalance_before_reset,1,2021-05-07,2025-04-03,3.91,18,3
rebalance_before_reset,2,2000-03-24,2009-03-05,8.95,29,11
rebalance_before_reset,3,2000-03-24,2009-03-05,8.95,27,13
rebalance_before_reset,5,2000-03-24,2011-09-06,11.45,23,22
rebalance_before_reset,7,2000-03-24,2009-03-05,8.95,14,25
rebalance_before_reset,10,2000-03-24,2009-03-05,8.95,9,30
rebalance_before_reset,15,2000-03-24,2009-03-05,8.95,5,34
rebalance_before_reset,20,2000-03-24,2009-02-23,8.92,4,34
