decision_date,raw_decision,monthly_reset_today,switch_after_A,switch_after_B,portfolio_after_A,portfolio_after_B,daily_action_A,daily_action_B,reset_action_A,reset_action_B
2000-03-15,bear,True,bear,bear,FAMA_FRENCH,FAMA_FRENCH,APPLY_FAMA_FRENCH,APPLY_FAMA_FRENCH,APPLY_GROWTH,APPLY_FAMA_FRENCH
2000-08-01,neutral,True,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,APPLY_FAMA_FRENCH,APPLY_GROWTH
2000-08-02,neutral,False,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,NONE,NONE
2000-08-03,neutral,False,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,NONE,NONE
2000-08-04,neutral,False,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,NONE,NONE
2000-08-07,neutral,False,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,NONE,NONE
2000-08-08,neutral,False,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,NONE,NONE
2000-08-09,neutral,False,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,NONE,NONE
2000-08-10,neutral,False,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,NONE,NONE
2000-08-11,neutral,False,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,NONE,NONE
2001-01-02,bear,True,bear,bear,FAMA_FRENCH,FAMA_FRENCH,APPLY_FAMA_FRENCH,APPLY_FAMA_FRENCH,APPLY_GROWTH,APPLY_FAMA_FRENCH
2008-02-01,bear,True,bear,bear,FAMA_FRENCH,FAMA_FRENCH,APPLY_FAMA_FRENCH,APPLY_FAMA_FRENCH,APPLY_GROWTH,APPLY_FAMA_FRENCH
2008-11-03,neutral,True,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,APPLY_FAMA_FRENCH,APPLY_GROWTH
2008-11-04,neutral,False,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,NONE,NONE
2008-12-01,neutral,True,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,APPLY_FAMA_FRENCH,APPLY_GROWTH
2009-03-02,bear,True,bear,bear,FAMA_FRENCH,FAMA_FRENCH,APPLY_FAMA_FRENCH,APPLY_FAMA_FRENCH,APPLY_GROWTH,APPLY_FAMA_FRENCH
2010-06-01,neutral,True,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,APPLY_FAMA_FRENCH,APPLY_GROWTH
2010-06-02,neutral,False,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,NONE,NONE
2010-06-03,neutral,False,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,NONE,NONE
2010-06-04,neutral,False,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,NONE,NONE
2010-06-07,neutral,False,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,NONE,NONE
2010-06-08,neutral,False,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,NONE,NONE
2010-06-09,neutral,False,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,NONE,NONE
2010-06-10,neutral,False,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,NONE,NONE
2010-06-11,neutral,False,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,NONE,NONE
2010-06-14,neutral,False,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,NONE,NONE
2010-06-15,neutral,False,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,NONE,NONE
2010-06-16,neutral,False,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,NONE,NONE
2010-06-17,neutral,False,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,NONE,NONE
2010-06-18,neutral,False,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,NONE,NONE
2010-06-21,neutral,False,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,NONE,NONE
2010-06-22,neutral,False,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,NONE,NONE
2010-06-23,neutral,False,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,NONE,NONE
2010-06-24,neutral,False,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,NONE,NONE
2010-06-25,neutral,False,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,NONE,NONE
2010-06-28,neutral,False,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,NONE,NONE
2010-06-29,neutral,False,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,NONE,NONE
2010-06-30,neutral,False,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,NONE,NONE
2011-10-03,bear,True,bear,bear,FAMA_FRENCH,FAMA_FRENCH,APPLY_FAMA_FRENCH,APPLY_FAMA_FRENCH,APPLY_GROWTH,APPLY_FAMA_FRENCH
2011-11-01,bear,True,bear,bear,FAMA_FRENCH,FAMA_FRENCH,APPLY_FAMA_FRENCH,APPLY_FAMA_FRENCH,APPLY_GROWTH,APPLY_FAMA_FRENCH
2011-12-01,bear,True,bear,bear,FAMA_FRENCH,FAMA_FRENCH,APPLY_FAMA_FRENCH,APPLY_FAMA_FRENCH,APPLY_GROWTH,APPLY_FAMA_FRENCH
2020-02-03,bear,True,bear,bear,FAMA_FRENCH,FAMA_FRENCH,APPLY_FAMA_FRENCH,APPLY_FAMA_FRENCH,APPLY_GROWTH,APPLY_FAMA_FRENCH
2020-03-02,neutral,True,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,APPLY_FAMA_FRENCH,APPLY_GROWTH
2020-04-01,neutral,True,neutral,neutral,FAMA_FRENCH,GROWTH,NONE,NONE,APPLY_FAMA_FRENCH,APPLY_GROWTH
