entry_date,entry_price,exit_date,exit_price,trade_result_pct,win_or_loss,entry_trigger,exit_trigger,entry_price_next_trading_day_ALT,exit_price_next_trading_day_ALT
2000-03-17,146.9375,2000-04-13,144.25,-1.8290089323692027,LOSS,RAW_DECISION,RAW_DECISION,146.1875,136.0
2000-04-19,143.125,2000-05-11,141.28125,-1.288209606986901,LOSS,RAW_DECISION,RAW_DECISION,143.8125,142.8125
2000-08-14,149.28125,2000-09-18,144.65625,-3.0981787732886734,LOSS,RAW_DECISION,RAW_DECISION,149.15625,145.96875
2000-11-10,136.625,2000-11-24,134.84375,-1.3037511436413518,LOSS,RAW_DECISION,RAW_DECISION,135.5625,136.03125
2000-12-26,132.34375,2001-01-02,128.8125,-2.6682408500590338,LOSS,RAW_DECISION,RAW_DECISION,133.3125,135.0
2001-01-26,135.875,2001-07-17,121.84,-10.329346826126951,LOSS,RAW_DECISION,RAW_DECISION,136.60001,121.01
2001-07-18,121.01,2001-08-24,119.02,-1.6444921907280419,LOSS,RAW_DECISION,RAW_DECISION,122.07,118.31
2001-09-18,104.05,2001-12-14,113.13,8.72657376261412,WIN,RAW_DECISION,RAW_DECISION,101.95,114.3
2002-06-03,104.37,2004-07-20,111.64,6.965603142665522,WIN,RAW_DECISION,RAW_DECISION,104.63,109.58
2005-06-08,119.91,2006-02-08,126.62,5.59586356433992,WIN,RAW_DECISION,RAW_DECISION,120.48,126.41
2006-03-13,128.83,2006-07-06,127.44,-1.0789412403943266,LOSS,RAW_DECISION,RAW_DECISION,130.17999,126.61
2006-08-04,128.2,2007-07-27,145.11,13.190327613104547,WIN,RAW_DECISION,RAW_DECISION,127.95,147.38
2007-10-05,155.85,2007-10-22,150.54,-3.407122232916271,LOSS,RAW_DECISION,RAW_DECISION,155.02,151.76
2007-11-29,147.18,2007-12-06,150.94,2.5546949313765444,WIN,RAW_DECISION,RAW_DECISION,148.66,150.91
2008-01-07,141.19,2008-01-09,140.37,-0.5807776754727656,LOSS,RAW_DECISION,RAW_DECISION,138.91,141.29
2008-02-21,134.79,2008-03-07,129.71,-3.7688255805326643,LOSS,RAW_DECISION,RAW_DECISION,135.62,128.0
2008-03-19,130.32,2008-03-20,132.08,1.3505217925107615,WIN,RAW_DECISION,RAW_DECISION,132.08,134.72
2008-04-14,132.93,2008-05-21,139.49,4.934928157676977,WIN,RAW_DECISION,RAW_DECISION,133.24,139.51
2008-09-10,123.72,2008-09-16,122.1,-1.3094083414161073,LOSS,RAW_DECISION,RAW_DECISION,125.51,116.61
2008-09-23,118.55,2008-09-24,118.93,0.3205398566005879,WIN,RAW_DECISION,RAW_DECISION,118.93,120.79
2008-10-13,101.35,2008-10-16,93.77,-7.479033053774053,LOSS,RAW_DECISION,RAW_DECISION,99.85,93.21
2008-10-29,93.08,2008-10-31,96.83,4.028792436613671,WIN,RAW_DECISION,RAW_DECISION,96.3,97.11
2008-11-05,96.19,2008-11-06,90.86,-5.541116540180891,LOSS,RAW_DECISION,RAW_DECISION,90.86,93.86
2008-11-10,92.63,2008-11-12,85.82,-7.35182986073627,LOSS,RAW_DECISION,RAW_DECISION,89.77,91.17
2008-12-08,91.0,2008-12-09,89.5,-1.6483516483516536,LOSS,RAW_DECISION,RAW_DECISION,89.5,90.11
2009-02-02,82.58,2009-02-24,77.48,-6.175829498667951,LOSS,RAW_DECISION,RAW_DECISION,83.74,76.872
2009-03-03,70.07,2009-03-06,68.92,-1.6412159269301951,LOSS,RAW_DECISION,RAW_DECISION,71.73,68.11
2009-04-29,87.39,2009-05-07,90.86,3.9707060304382535,WIN,RAW_DECISION,RAW_DECISION,87.42,92.98
2009-05-26,91.3,2010-05-11,115.83,26.86746987951807,WIN,RAW_DECISION,RAW_DECISION,89.67,117.45
2010-08-06,112.392,2011-08-04,120.26,7.000498256103649,WIN,RAW_DECISION,RAW_DECISION,112.992,120.08
2012-01-09,128.02,2014-02-04,175.385,36.998125292922964,WIN,RAW_DECISION,RAW_DECISION,129.13,175.17
2014-02-26,184.85,2014-10-22,192.69,4.241276710846642,WIN,RAW_DECISION,RAW_DECISION,185.82,194.93
2014-11-17,204.37,2014-12-18,206.78,1.1792337427215305,WIN,RAW_DECISION,RAW_DECISION,205.55,206.52
2015-02-27,210.66,2015-08-24,189.55,-10.020886736922051,LOSS,RAW_DECISION,RAW_DECISION,211.99,187.27
2015-11-11,207.74,2016-01-08,191.923,-7.613844228362376,LOSS,RAW_DECISION,RAW_DECISION,204.84,192.11
2016-03-28,203.24,2018-02-05,263.93,29.861247785868915,WIN,RAW_DECISION,RAW_DECISION,205.1208,269.13
2018-05-24,272.8,2018-10-11,272.17,-0.2309384164222883,LOSS,RAW_DECISION,RAW_DECISION,272.15,275.95
2019-03-06,277.33,2019-05-14,283.4,2.1887282299066113,WIN,RAW_DECISION,RAW_DECISION,275.01,285.06
2019-07-19,297.17,2019-08-06,287.8,-3.1530773631254894,LOSS,RAW_DECISION,RAW_DECISION,297.9,287.97
2019-09-24,295.87,2020-02-03,324.12,9.548112346638726,WIN,RAW_DECISION,RAW_DECISION,297.62,329.06
2021-06-10,423.61,2021-09-29,434.45,2.5589575316918856,WIN,RAW_DECISION,RAW_DECISION,424.31,429.14
2022-02-04,448.7,2022-02-14,439.02,-2.1573434365946054,LOSS,RAW_DECISION,RAW_DECISION,447.26,446.1
