portfolio_model,start_date,end_date,trading_days,start_close,end_close,return_pct,max_drawdown_pct,opening_raw_decision,opening_action,overlaps_order_uncertainty
FAMA_FRENCH,2000-03-15,2000-03-16,2,139.8125,146.34375,4.6714349575324094,0.0,bear,APPLY_FAMA_FRENCH,False
GROWTH,2000-03-17,2000-04-12,19,146.9375,146.28125,-0.44661846022968954,4.741554741554742,bull,APPLY_GROWTH,False
FAMA_FRENCH,2000-04-13,2000-04-18,4,144.25,144.46875,0.15164644714038128,5.719237435008666,bear,APPLY_FAMA_FRENCH,False
GROWTH,2000-04-19,2000-05-10,15,143.125,138.125,-3.4934497816593884,6.770723476059903,bull,APPLY_GROWTH,False
FAMA_FRENCH,2000-05-11,2000-08-11,65,141.28125,147.40625,4.335324043353241,6.053719008264462,bear,APPLY_FAMA_FRENCH,True
GROWTH,2000-08-14,2000-09-15,24,149.28125,146.0,-2.1980322378061543,4.2622950819672125,bull,APPLY_GROWTH,False
FAMA_FRENCH,2000-09-18,2000-11-09,39,144.65625,140.03125,-3.197234823936055,8.798972382787412,bear,APPLY_FAMA_FRENCH,False
GROWTH,2000-11-10,2000-11-22,9,136.625,132.14063,-3.2822470265324886,5.317954321540538,bull,APPLY_GROWTH,False
FAMA_FRENCH,2000-11-24,2000-12-22,21,134.84375,130.9375,-2.8968713789107765,8.926961226330027,bear,APPLY_FAMA_FRENCH,False
GROWTH,2000-12-26,2000-12-29,4,132.34375,131.1875,-0.8736717827626919,1.8929656461790136,bull,APPLY_GROWTH,False
FAMA_FRENCH,2001-01-02,2001-01-25,17,128.8125,136.03125,5.604075691411936,4.305555555555555,bear,APPLY_FAMA_FRENCH,True
GROWTH,2001-01-26,2001-07-16,118,135.875,120.71,-11.160993560257594,19.966643947411296,bull,APPLY_GROWTH,False
FAMA_FRENCH,2001-07-17,2001-07-17,1,121.84,121.84,0.0,0.0,bear,APPLY_FAMA_FRENCH,False
GROWTH,2001-07-18,2001-08-23,27,121.01,116.6,-3.6443269151309896,5.537884348748068,bull,APPLY_GROWTH,False
FAMA_FRENCH,2001-08-24,2001-09-17,12,119.02,104.3,-12.36766929927743,12.36766929927743,bear,APPLY_FAMA_FRENCH,False
GROWTH,2001-09-18,2001-12-13,62,104.05,112.06,7.698222008649693,6.506487265737622,bull,APPLY_GROWTH,False
FAMA_FRENCH,2001-12-14,2002-05-31,115,113.13,107.22,-5.2240784937682285,10.64444822309132,bear,APPLY_FAMA_FRENCH,False
GROWTH,2002-06-03,2004-07-19,536,104.37,110.24,5.6242215195937435,26.04866963355743,bull,APPLY_GROWTH,False
FAMA_FRENCH,2004-07-20,2005-06-07,224,111.64,120.13,7.604801146542453,7.321443114260126,bear,APPLY_FAMA_FRENCH,False
GROWTH,2005-06-08,2006-02-07,169,119.91,125.48,4.645150529563845,5.845093008338672,bull,APPLY_GROWTH,False
FAMA_FRENCH,2006-02-08,2006-03-10,22,126.62,128.59,1.5558363607644912,1.6066814763879715,bear,APPLY_FAMA_FRENCH,False
GROWTH,2006-03-13,2006-07-05,80,128.83,127.07,-1.3661414266863456,7.59312320916906,bull,APPLY_GROWTH,False
FAMA_FRENCH,2006-07-06,2006-08-03,21,127.44,128.42,0.7689893283113541,3.217200251098552,bear,APPLY_FAMA_FRENCH,False
GROWTH,2006-08-04,2007-07-26,245,128.2,148.02,15.460218408736367,5.969740535359758,bull,APPLY_GROWTH,False
FAMA_FRENCH,2007-07-27,2007-10-04,49,145.11,154.02,6.1401695265660505,5.866648868717894,bear,APPLY_FAMA_FRENCH,False
GROWTH,2007-10-05,2007-10-19,11,155.85,149.67,-3.96535129932628,4.351993865030677,bull,APPLY_GROWTH,False
FAMA_FRENCH,2007-10-22,2007-11-28,27,150.54,147.13,-2.2651786900491544,8.858713223407705,bear,APPLY_FAMA_FRENCH,False
GROWTH,2007-11-29,2007-12-05,5,147.18,148.81,1.1074874303573825,1.5471545809229,bull,APPLY_GROWTH,False
FAMA_FRENCH,2007-12-06,2008-01-04,20,150.94,141.31,-6.380018550417381,7.081799053129938,bear,APPLY_FAMA_FRENCH,False
GROWTH,2008-01-07,2008-01-08,2,141.19,138.91,-1.6148452439974512,1.6148452439974512,bull,APPLY_GROWTH,False
FAMA_FRENCH,2008-01-09,2008-02-20,29,140.37,135.92,-3.170193061195424,7.481067308372847,bear,APPLY_FAMA_FRENCH,True
GROWTH,2008-02-21,2008-03-06,11,134.79,131.06,-2.7672676014541064,5.276091355883211,bull,APPLY_GROWTH,False
FAMA_FRENCH,2008-03-07,2008-03-18,8,129.71,133.63,3.022126281705333,3.2428355957767594,bear,APPLY_FAMA_FRENCH,False
GROWTH,2008-03-19,2008-03-19,1,130.32,130.32,0.0,0.0,bull,APPLY_GROWTH,False
FAMA_FRENCH,2008-03-20,2008-04-11,16,132.08,133.38,0.9842519685039239,2.6707530647985966,bear,APPLY_FAMA_FRENCH,False
GROWTH,2008-04-14,2008-05-20,27,132.93,141.89,6.740389678778288,2.2175290390707536,bull,APPLY_GROWTH,False
