scenario,cost_round_trip_bps,window_start,window_end,n_days,total_return_pct,CAGR_pct,annualized_volatility_pct,Sharpe_ratio,maximum_drawdown_pct,Calmar_ratio,SPY_exposure_pct,n_transitions,turnover_per_year,total_estimated_costs_usd,total_estimated_costs_pct_of_initial,excess_return_vs_spy_pct,return_while_growth_pct,return_avoided_while_defensive_pct,missed_positive_return_while_defensive_pct,loss_suffered_while_growth_pct
daily_only,0,2000-03-17,2026-03-20,6541,136.52634330142465,3.3722964228880103,11.61971194687775,0.34372670776395486,-37.15935748910433,0.09075228019959218,54.502369668246445,84,3.236202415532793,0.0,0.0,-206.65623197083713,136.52634330142465,-1373.7979484615344,1467.535448096202,-1159.3290975731056
daily_only,5,2000-03-17,2026-03-20,6541,131.6075724577196,3.2886365461795464,11.6201522268725,0.33675120565358135,-37.41035520480044,0.08790711898286263,54.502369668246445,84,3.236202415532793,2661.2190816307184,2.661219081630718,-211.57500281454216,136.52634330142465,-1373.7979484615344,1467.535448096202,-1159.3290975731056
daily_only,10,2000-03-17,2026-03-20,6541,126.7898987504438,3.205023460628853,11.620764309052609,0.32977135668295515,-37.66041281859034,0.08510324823223273,54.502369668246445,84,3.236202415532793,5257.709365916398,5.257709365916399,-216.39267652181798,136.52634330142465,-1373.7979484615344,1467.535448096202,-1159.3290975731056
daily_only,25,2000-03-17,2026-03-20,6541,112.92313214794541,2.954464806233159,11.623631059210416,0.30880884057997743,-38.404977866837974,0.07692921517823052,54.502369668246445,84,3.236202415532793,12673.25241869477,12.67325241869477,-230.25944312431636,136.52634330142465,-1373.7979484615344,1467.535448096202,-1159.3290975731056
reset_before_rebalance,0,2000-03-17,2026-03-20,6541,300.49376395146356,5.491079441329938,13.786225782813922,0.45692085193930826,-57.43641204373582,0.09560275870206991,78.382510319523,177,6.819140804158386,0.0,0.0,-42.68881132079821,300.49376395146356,-855.2179467684468,889.1206444690955,-1677.9090992661932
reset_before_rebalance,5,2000-03-17,2026-03-20,6541,283.16609656058074,5.31147567117356,13.785762867695809,0.4445699210428541,-57.690904490077024,0.09206781758963663,78.382510319523,177,6.819140804158386,7023.140044248094,7.023140044248094,-60.01647871168103,300.49376395146356,-855.2179467684468,889.1206444690955,-1677.9090992661932
reset_before_rebalance,10,2000-03-17,2026-03-20,6541,266.5840705648966,5.13213290092156,13.785600734890794,0.43220873026033385,-57.94393834136241,0.0885706606735439,78.382510319523,177,6.819140804158386,13640.34276567137,13.64034276567137,-76.59850470736518,300.49376395146356,-855.2179467684468,889.1206444690955,-1677.9090992661932
reset_before_rebalance,25,2000-03-17,2026-03-20,6541,220.99945673476796,4.595667449335328,13.786919038039189,0.3950716918089523,-58.69436809840904,0.07829826946309516,78.382510319523,177,6.819140804158386,31255.575005437775,31.255575005437773,-122.18311853749381,300.49376395146356,-855.2179467684468,889.1206444690955,-1677.9090992661932
rebalance_before_reset,0,2000-03-17,2026-03-20,6541,182.0774530988374,4.07609544115024,14.126044047020683,0.35372969575137697,-56.09336388259152,0.07266626850338084,79.26922488916068,195,7.512612750343984,0.0,0.0,-161.10512217342438,182.0774530988374,-795.8059156550911,863.5144939412918,-1737.321130379549
rebalance_before_reset,5,2000-03-17,2026-03-20,6541,168.6526617977065,3.8807585538782607,14.126399502501998,0.3404254525941187,-56.3557725929688,0.06886177538381297,79.26922488916068,195,7.512612750343984,7022.335400808016,7.022335400808016,-174.5299134745553,182.0774530988374,-795.8059156550911,863.5144939412918,-1737.321130379549
rebalance_before_reset,10,2000-03-17,2026-03-20,6541,155.86366952701897,3.685739557289791,14.127077411802205,0.32711441232319605,-56.61667799024846,0.06509989084708599,79.26922488916068,195,7.512612750343984,13618.063884572117,13.618063884572118,-187.3189057452428,182.0774530988374,-795.8059156550911,863.5144939412918,-1737.321130379549
rebalance_before_reset,25,2000-03-17,2026-03-20,6541,121.01881112300129,3.1025855341391573,14.131045288173134,0.28714964720453184,-57.390456487123444,0.05406100114982143,79.26922488916068,195,7.512612750343984,31068.598945023557,31.068598945023556,-222.1637641492605,182.0774530988374,-795.8059156550911,863.5144939412918,-1737.321130379549
SPY_BUY_AND_HOLD,,2000-03-17,2026-03-20,6541,343.1825752722618,5.903517712008166,19.327649495035217,0.39349620841655397,-56.47367075664624,0.10453575326185781,100.0,0,0.0,,,0.0,,,,
CASH,,2000-03-17,2026-03-20,6541,0.0,0.0,0.0,,0.0,,0.0,0,0.0,,,-343.1825752722618,,,,
SMA200,,2000-03-17,2026-03-20,6541,277.24892082853887,5.2483502280485705,10.947020488423336,0.5222984128546897,-21.23753294920857,0.2471261723572348,69.6529582632625,161,6.202721296437853,,,-65.9336544437229,,,,
