date,previous_directional_state,current_directional_state,event,spy_close
2000-03-17,bear,bull,BEAR_TO_BULL,146.9375
2000-04-13,bull,bear,BULL_TO_BEAR,144.25
2000-04-19,bear,bull,BEAR_TO_BULL,143.125
2000-05-11,bull,bear,BULL_TO_BEAR,141.28125
2000-08-14,bear,bull,BEAR_TO_BULL,149.28125
2000-09-18,bull,bear,BULL_TO_BEAR,144.65625
2000-11-10,bear,bull,BEAR_TO_BULL,136.625
2000-11-24,bull,bear,BULL_TO_BEAR,134.84375
2000-12-26,bear,bull,BEAR_TO_BULL,132.34375
2001-01-02,bull,bear,BULL_TO_BEAR,128.8125
2001-01-26,bear,bull,BEAR_TO_BULL,135.875
2001-07-17,bull,bear,BULL_TO_BEAR,121.84
2001-07-18,bear,bull,BEAR_TO_BULL,121.01
2001-08-24,bull,bear,BULL_TO_BEAR,119.02
2001-09-18,bear,bull,BEAR_TO_BULL,104.05
2001-12-14,bull,bear,BULL_TO_BEAR,113.13
2002-06-03,bear,bull,BEAR_TO_BULL,104.37
2004-07-20,bull,bear,BULL_TO_BEAR,111.64
2005-06-08,bear,bull,BEAR_TO_BULL,119.91
2006-02-08,bull,bear,BULL_TO_BEAR,126.62
2006-03-13,bear,bull,BEAR_TO_BULL,128.83
2006-07-06,bull,bear,BULL_TO_BEAR,127.44
2006-08-04,bear,bull,BEAR_TO_BULL,128.2
2007-07-27,bull,bear,BULL_TO_BEAR,145.11
2007-10-05,bear,bull,BEAR_TO_BULL,155.85
2007-10-22,bull,bear,BULL_TO_BEAR,150.54
2007-11-29,bear,bull,BEAR_TO_BULL,147.18
2007-12-06,bull,bear,BULL_TO_BEAR,150.94
2008-01-07,bear,bull,BEAR_TO_BULL,141.19
2008-01-09,bull,bear,BULL_TO_BEAR,140.37
2008-02-21,bear,bull,BEAR_TO_BULL,134.79
2008-03-07,bull,bear,BULL_TO_BEAR,129.71
2008-03-19,bear,bull,BEAR_TO_BULL,130.32
2008-03-20,bull,bear,BULL_TO_BEAR,132.08
2008-04-14,bear,bull,BEAR_TO_BULL,132.93
2008-05-21,bull,bear,BULL_TO_BEAR,139.49
2008-09-10,bear,bull,BEAR_TO_BULL,123.72
2008-09-16,bull,bear,BULL_TO_BEAR,122.1
2008-09-23,bear,bull,BEAR_TO_BULL,118.55
2008-09-24,bull,bear,BULL_TO_BEAR,118.93
2008-10-13,bear,bull,BEAR_TO_BULL,101.35
2008-10-16,bull,bear,BULL_TO_BEAR,93.77
2008-10-29,bear,bull,BEAR_TO_BULL,93.08
2008-10-31,bull,bear,BULL_TO_BEAR,96.83
2008-11-05,bear,bull,BEAR_TO_BULL,96.19
2008-11-06,bull,bear,BULL_TO_BEAR,90.86
2008-11-10,bear,bull,BEAR_TO_BULL,92.63
2008-11-12,bull,bear,BULL_TO_BEAR,85.82
2008-12-08,bear,bull,BEAR_TO_BULL,91.0
2008-12-09,bull,bear,BULL_TO_BEAR,89.5
2009-02-02,bear,bull,BEAR_TO_BULL,82.58
2009-02-24,bull,bear,BULL_TO_BEAR,77.48
2009-03-03,bear,bull,BEAR_TO_BULL,70.07
2009-03-06,bull,bear,BULL_TO_BEAR,68.92
2009-04-29,bear,bull,BEAR_TO_BULL,87.39
2009-05-07,bull,bear,BULL_TO_BEAR,90.86
2009-05-26,bear,bull,BEAR_TO_BULL,91.3
2010-05-11,bull,bear,BULL_TO_BEAR,115.83
2010-08-06,bear,bull,BEAR_TO_BULL,112.392
2011-08-04,bull,bear,BULL_TO_BEAR,120.26
2012-01-09,bear,bull,BEAR_TO_BULL,128.02
2014-02-04,bull,bear,BULL_TO_BEAR,175.385
2014-02-26,bear,bull,BEAR_TO_BULL,184.85
2014-10-22,bull,bear,BULL_TO_BEAR,192.69
2014-11-17,bear,bull,BEAR_TO_BULL,204.37
2014-12-18,bull,bear,BULL_TO_BEAR,206.78
2015-02-27,bear,bull,BEAR_TO_BULL,210.66
2015-08-24,bull,bear,BULL_TO_BEAR,189.55
2015-11-11,bear,bull,BEAR_TO_BULL,207.74
2016-01-08,bull,bear,BULL_TO_BEAR,191.923
2016-03-28,bear,bull,BEAR_TO_BULL,203.24
2018-02-05,bull,bear,BULL_TO_BEAR,263.93
2018-05-24,bear,bull,BEAR_TO_BULL,272.8
2018-10-11,bull,bear,BULL_TO_BEAR,272.17
2019-03-06,bear,bull,BEAR_TO_BULL,277.33
2019-05-14,bull,bear,BULL_TO_BEAR,283.4
2019-07-19,bear,bull,BEAR_TO_BULL,297.17
2019-08-06,bull,bear,BULL_TO_BEAR,287.8
2019-09-24,bear,bull,BEAR_TO_BULL,295.87
2020-02-03,bull,bear,BULL_TO_BEAR,324.12
2021-06-10,bear,bull,BEAR_TO_BULL,423.61
2021-09-29,bull,bear,BULL_TO_BEAR,434.45
2022-02-04,bear,bull,BEAR_TO_BULL,448.7
2022-02-14,bull,bear,BULL_TO_BEAR,439.02
