entry_date,entry_price,exit_date,exit_price,trade_result_pct,win_or_loss,entry_trigger,exit_trigger,entry_price_next_trading_day_ALT,exit_price_next_trading_day_ALT
2000-04-13,144.25,2000-04-19,143.125,0.779896013864818,WIN,RAW_DECISION,RAW_DECISION,136.0,143.8125
2000-05-11,141.28125,2000-06-01,145.3125,-2.8533510285335106,LOSS,RAW_DECISION,MONTHLY_RESET,142.8125,147.84375
2000-06-09,146.59375,2000-07-03,147.28125,-0.46898315924109996,LOSS,RAW_DECISION,MONTHLY_RESET,144.875,144.625
2000-07-31,143.0,2000-08-01,143.875,-0.6118881118881119,LOSS,RAW_DECISION,MONTHLY_RESET,143.875,144.59375
2000-09-18,144.65625,2000-10-02,143.84375,0.5616763879887665,WIN,RAW_DECISION,MONTHLY_RESET,145.96875,142.5
2000-10-11,136.53125,2000-11-01,142.46875,-4.34882124055848,LOSS,RAW_DECISION,MONTHLY_RESET,133.125,142.70313
2000-11-24,134.84375,2000-12-01,132.21875,1.9466975666280417,WIN,RAW_DECISION,MONTHLY_RESET,136.03125,133.34375
2000-12-18,132.71875,2000-12-26,132.34375,0.2825523899222981,WIN,RAW_DECISION,RAW_DECISION,130.01563,133.3125
2001-01-02,128.8125,2001-01-26,135.875,-5.482775351770985,LOSS,DUAL_ACTION_ORDER_DEPENDENT,RAW_DECISION,135.0,136.60001
2001-07-17,121.84,2001-07-18,121.01,0.6812212738017057,WIN,RAW_DECISION,RAW_DECISION,121.01,122.07
2001-08-24,119.02,2001-09-04,113.42,4.705091581246845,WIN,RAW_DECISION,MONTHLY_RESET,118.31,113.7
2001-12-14,113.13,2002-01-02,115.53,-2.1214531954388804,LOSS,RAW_DECISION,MONTHLY_RESET,114.3,116.84
2004-07-20,111.64,2004-08-02,111.07,0.5105696882837758,WIN,RAW_DECISION,MONTHLY_RESET,109.58,110.21
2004-08-13,107.19,2004-09-01,111.32,-3.8529713592685844,LOSS,RAW_DECISION,MONTHLY_RESET,108.3,112.58
2005-03-14,121.14,2005-04-01,117.43,3.0625722304771283,WIN,RAW_DECISION,MONTHLY_RESET,120.14,117.63
2006-02-08,126.62,2006-03-01,129.37,-2.1718527878692147,LOSS,RAW_DECISION,MONTHLY_RESET,126.41,129.36
2006-07-06,127.44,2006-08-01,127.22,0.1726302573760192,WIN,RAW_DECISION,MONTHLY_RESET,126.61,128.08
2007-07-27,145.11,2007-08-01,146.43,-0.9096547446764476,LOSS,RAW_DECISION,MONTHLY_RESET,147.38,147.6
2007-08-06,146.21,2007-09-04,149.08,-1.9629300321455472,LOSS,RAW_DECISION,MONTHLY_RESET,147.77,147.79
2007-10-22,150.54,2007-11-01,151.03,-0.3254948850803834,LOSS,RAW_DECISION,MONTHLY_RESET,151.76,151.2
2007-11-08,147.16,2007-11-29,147.18,-0.013590649633059412,LOSS,RAW_DECISION,RAW_DECISION,145.14,148.66
2007-12-06,150.94,2008-01-02,144.93,3.981714588578237,WIN,RAW_DECISION,MONTHLY_RESET,150.91,144.86
2008-01-09,140.37,2008-02-21,134.79,3.975208377858525,WIN,RAW_DECISION,RAW_DECISION,141.29,135.62
2008-03-07,129.71,2008-03-19,130.32,-0.4702798550612792,LOSS,RAW_DECISION,RAW_DECISION,128.0,132.08
2008-03-20,132.08,2008-04-01,136.61,-3.4297395517867963,LOSS,RAW_DECISION,MONTHLY_RESET,134.72,136.7
2008-04-02,136.7,2008-04-14,132.93,2.757863935625444,WIN,RAW_DECISION,RAW_DECISION,137.04,133.24
2008-05-21,139.49,2008-06-02,138.9,0.4229693884866323,WIN,RAW_DECISION,MONTHLY_RESET,139.51,138.09
2008-06-27,127.68,2008-07-01,128.42,-0.5795739348370775,LOSS,RAW_DECISION,MONTHLY_RESET,128.04,126.14
2008-07-03,126.28,2008-08-01,126.1,0.14254038644283087,WIN,RAW_DECISION,MONTHLY_RESET,125.0,125.02
2008-09-16,122.1,2008-09-23,118.55,2.907452907452905,WIN,RAW_DECISION,RAW_DECISION,116.61,118.93
2008-09-24,118.93,2008-10-13,101.35,14.781804422769707,WIN,RAW_DECISION,RAW_DECISION,120.79,99.85
2008-10-16,93.77,2008-10-29,93.08,0.7358430201556977,WIN,RAW_DECISION,RAW_DECISION,93.21,96.3
2008-10-31,96.83,2008-11-03,97.11,-0.2891665806051855,LOSS,RAW_DECISION,MONTHLY_RESET,97.11,100.41
2008-11-06,90.86,2008-11-10,92.63,-1.9480519480519438,LOSS,RAW_DECISION,RAW_DECISION,93.86,89.77
2008-11-12,85.82,2008-12-01,82.11,4.323001631321363,WIN,RAW_DECISION,MONTHLY_RESET,91.17,85.27
2008-12-02,85.27,2008-12-08,91.0,-6.719831124662841,LOSS,RAW_DECISION,RAW_DECISION,87.32,89.5
2008-12-09,89.5,2009-01-02,92.96,-3.86592178770949,LOSS,RAW_DECISION,MONTHLY_RESET,90.11,92.85
2009-01-08,91.042,2009-02-02,82.58,9.294611278311113,WIN,RAW_DECISION,DUAL_ACTION_ORDER_DEPENDENT,89.09,83.74
2009-02-24,77.48,2009-03-03,70.07,9.563758389261759,WIN,RAW_DECISION,RAW_DECISION,76.872,71.73
2009-03-06,68.92,2009-04-01,81.06,-17.614625652930936,LOSS,RAW_DECISION,MONTHLY_RESET,68.11,83.43
2009-05-07,90.86,2009-05-26,91.3,-0.48426150121065126,LOSS,RAW_DECISION,RAW_DECISION,92.98,89.67
2010-05-11,115.83,2010-06-01,107.53,7.165673832340497,WIN,RAW_DECISION,MONTHLY_RESET,117.45,110.33
2010-07-08,107.16,2010-08-02,112.76,-5.22583053378127,LOSS,RAW_DECISION,MONTHLY_RESET,107.96,112.22
2011-08-04,120.26,2011-09-01,120.94,-0.5654415433227944,LOSS,RAW_DECISION,MONTHLY_RESET,120.08,117.85
2011-09-06,116.99,2012-01-03,127.495,-8.979399948713574,LOSS,RAW_DECISION,MONTHLY_RESET,120.29,127.7
2014-02-04,175.385,2014-02-26,184.85,-5.396698691450241,LOSS,RAW_DECISION,RAW_DECISION,175.17,185.82
2014-10-22,192.69,2014-11-03,201.77,-4.712232082619758,LOSS,RAW_DECISION,MONTHLY_RESET,194.93,201.07
2014-12-18,206.78,2015-01-02,205.43,0.6528677821839609,WIN,RAW_DECISION,MONTHLY_RESET,206.52,201.72
2015-08-24,189.55,2015-09-01,191.77,-1.1711949353732518,LOSS,RAW_DECISION,MONTHLY_RESET,187.27,195.41
2015-09-02,195.41,2015-10-01,192.13,1.6785220817767776,WIN,RAW_DECISION,MONTHLY_RESET,195.55,195.0
2016-01-08,191.923,2016-02-01,193.65,-0.89984004001605,LOSS,RAW_DECISION,MONTHLY_RESET,192.11,190.16
2016-02-16,189.78,2016-03-01,198.11,-4.389292865423128,LOSS,RAW_DECISION,MONTHLY_RESET,192.88,199.0
2018-02-05,263.93,2018-03-01,267.7,-1.4284090478535907,LOSS,RAW_DECISION,MONTHLY_RESET,269.13,269.08
2018-03-23,258.05,2018-04-02,257.47,0.22476264289865688,WIN,RAW_DECISION,MONTHLY_RESET,265.11,260.77
2018-04-03,260.77,2018-05-01,264.98,-1.6144495148982,LOSS,RAW_DECISION,MONTHLY_RESET,263.56,263.2
2018-10-11,272.17,2018-11-01,273.51,-0.4923393467318128,LOSS,RAW_DECISION,MONTHLY_RESET,275.95,271.89
