entry_date,entry_price,exit_date,exit_price,trade_result_pct,win_or_loss,entry_trigger,exit_trigger,entry_price_next_trading_day_ALT,exit_price_next_trading_day_ALT,stopped_out
2000-03-17,146.9375,2000-04-13,144.25,-1.8290089323692027,LOSS,RAW_DECISION,RAW_DECISION,146.1875,136.0,False
2000-04-19,143.125,2000-05-10,138.125,-3.4934497816593857,LOSS,RAW_DECISION,STOP_LOSS,143.8125,142.8125,True
2000-06-01,145.3125,2000-06-09,146.59375,0.8817204301075243,WIN,MONTHLY_RESET,RAW_DECISION,147.84375,144.875,False
2000-07-03,147.28125,2000-07-28,142.09375,-3.5221727137704217,LOSS,MONTHLY_RESET,STOP_LOSS,144.625,143.875,True
2000-08-14,149.28125,2000-09-15,146.0,-2.198032237806158,LOSS,RAW_DECISION,STOP_LOSS,149.15625,145.96875,True
2000-10-02,143.84375,2000-10-09,140.0,-2.672170323701939,LOSS,MONTHLY_RESET,STOP_LOSS,142.5,133.125,True
2000-11-01,142.46875,2000-11-10,136.625,-4.101776705417858,LOSS,MONTHLY_RESET,STOP_LOSS,142.70313,136.03125,True
2000-12-01,132.21875,2000-12-18,132.71875,0.3781611912077487,WIN,MONTHLY_RESET,RAW_DECISION,133.34375,130.01563,False
2000-12-26,132.34375,2001-01-02,128.8125,-2.6682408500590338,LOSS,RAW_DECISION,STOP_LOSS,133.3125,135.0,True
2001-01-26,135.875,2001-02-08,133.12,-2.027598896044158,LOSS,RAW_DECISION,STOP_LOSS,136.60001,121.01,True
2001-07-18,121.01,2001-07-24,117.8,-2.652673332782418,LOSS,RAW_DECISION,STOP_LOSS,122.07,118.31,True
2001-09-04,113.42,2001-09-06,110.77,-2.336448598130847,LOSS,MONTHLY_RESET,STOP_LOSS,113.7,114.3,True
2002-01-02,115.53,2002-01-16,112.82,-2.345711070717571,LOSS,MONTHLY_RESET,STOP_LOSS,116.84,109.58,True
2004-08-02,111.07,2004-08-05,108.4,-2.403889439092455,LOSS,MONTHLY_RESET,STOP_LOSS,110.21,108.3,True
2004-09-01,111.32,2005-03-14,121.14,8.821415738411797,WIN,MONTHLY_RESET,RAW_DECISION,112.58,120.14,False
2005-04-01,117.43,2005-04-15,114.15,-2.7931533679638965,LOSS,MONTHLY_RESET,STOP_LOSS,117.63,126.41,True
2006-03-01,129.37,2006-05-18,126.21,-2.4426064775450396,LOSS,MONTHLY_RESET,STOP_LOSS,129.36,126.61,True
2006-08-01,127.22,2007-07-27,145.11,14.06225436252162,WIN,MONTHLY_RESET,RAW_DECISION,128.08,147.38,False
2007-08-01,146.43,2007-08-06,146.21,-0.1502424366591537,LOSS,MONTHLY_RESET,RAW_DECISION,147.6,147.77,False
2007-09-04,149.08,2007-09-07,146.07,-2.0190501744030143,LOSS,MONTHLY_RESET,STOP_LOSS,147.79,151.76,True
2007-11-01,151.03,2007-11-07,147.91,-2.0658147387936254,LOSS,MONTHLY_RESET,STOP_LOSS,151.2,145.14,True
2007-11-29,147.18,2007-12-06,150.94,2.5546949313765444,WIN,RAW_DECISION,RAW_DECISION,148.66,150.91,False
2008-01-02,144.93,2008-01-04,141.31,-2.4977575381218586,LOSS,MONTHLY_RESET,STOP_LOSS,144.86,141.29,True
2008-02-21,134.79,2008-03-06,131.06,-2.767267601454104,LOSS,RAW_DECISION,STOP_LOSS,135.62,128.0,True
2008-03-19,130.32,2008-03-20,132.08,1.3505217925107615,WIN,RAW_DECISION,RAW_DECISION,132.08,134.72,False
2008-04-01,136.61,2008-04-02,136.7,0.0658809750384126,WIN,MONTHLY_RESET,RAW_DECISION,136.7,137.04,False
2008-04-14,132.93,2008-05-21,139.49,4.934928157676977,WIN,RAW_DECISION,RAW_DECISION,133.24,139.51,False
2008-06-02,138.9,2008-06-10,135.94,-2.131029517638594,LOSS,MONTHLY_RESET,STOP_LOSS,138.09,128.04,True
2008-07-01,128.42,2008-07-03,126.28,-1.6664071016975424,LOSS,MONTHLY_RESET,RAW_DECISION,126.14,125.0,False
2008-08-01,126.1,2008-09-09,123.22,-2.283901665344956,LOSS,MONTHLY_RESET,STOP_LOSS,125.02,116.61,True
2008-09-23,118.55,2008-09-24,118.93,0.3205398566005879,WIN,RAW_DECISION,RAW_DECISION,118.93,120.79,False
2008-10-13,101.35,2008-10-15,90.02,-11.17908238776517,LOSS,RAW_DECISION,STOP_LOSS,99.85,93.21,True
2008-10-29,93.08,2008-10-31,96.83,4.028792436613671,WIN,RAW_DECISION,RAW_DECISION,96.3,97.11,False
2008-11-05,96.19,2008-11-06,90.86,-5.541116540180891,LOSS,RAW_DECISION,STOP_LOSS,90.86,93.86,True
2008-11-10,92.63,2008-11-11,89.77,-3.0875526287379884,LOSS,RAW_DECISION,STOP_LOSS,89.77,91.17,True
2008-12-08,91.0,2008-12-09,89.5,-1.6483516483516536,LOSS,RAW_DECISION,RAW_DECISION,89.5,90.11,False
2009-01-02,92.96,2009-01-07,90.67,-2.4634251290877707,LOSS,MONTHLY_RESET,STOP_LOSS,92.85,89.09,True
2009-02-02,82.58,2009-02-17,79.22,-4.068781787357711,LOSS,DUAL_ACTION_ORDER_DEPENDENT,STOP_LOSS,83.74,76.872,True
2009-03-03,70.07,2009-03-06,68.92,-1.6412159269301951,LOSS,RAW_DECISION,RAW_DECISION,71.73,68.11,False
2009-04-01,81.06,2009-05-07,90.86,12.089810017271162,WIN,MONTHLY_RESET,RAW_DECISION,83.43,92.98,False
2009-05-26,91.3,2009-06-22,89.28,-2.2124863088718416,LOSS,RAW_DECISION,STOP_LOSS,89.67,117.45,True
2010-07-01,102.76,2010-07-08,107.16,4.281821720513812,WIN,MONTHLY_RESET,RAW_DECISION,102.2,107.96,False
2010-08-02,112.76,2010-08-11,109.3,-3.068463994324233,LOSS,MONTHLY_RESET,STOP_LOSS,112.22,120.08,True
2011-09-01,120.94,2011-09-02,117.85,-2.5549859434430333,LOSS,MONTHLY_RESET,STOP_LOSS,117.85,120.29,True
2012-01-03,127.495,2014-02-04,175.385,37.56225734342522,WIN,MONTHLY_RESET,RAW_DECISION,127.7,175.17,False
2014-02-26,184.85,2014-10-22,192.69,4.241276710846642,WIN,RAW_DECISION,RAW_DECISION,185.82,194.93,False
2014-11-03,201.77,2014-12-18,206.78,2.4830252267433077,WIN,MONTHLY_RESET,RAW_DECISION,201.07,206.52,False
2015-01-02,205.43,2015-01-06,199.82,-2.730857226305805,LOSS,MONTHLY_RESET,STOP_LOSS,201.72,187.27,True
2015-09-01,191.77,2015-09-02,195.41,1.898107107472491,WIN,MONTHLY_RESET,RAW_DECISION,195.41,195.55,False
2015-10-01,192.13,2016-01-08,191.923,-0.1077395513454426,LOSS,MONTHLY_RESET,RAW_DECISION,195.0,192.11,False
2016-02-01,193.65,2016-02-05,187.95,-2.9434546862897037,LOSS,MONTHLY_RESET,STOP_LOSS,190.16,192.88,True
2016-03-01,198.11,2018-02-05,263.93,33.223966483266864,WIN,MONTHLY_RESET,RAW_DECISION,199.0,269.13,False
2018-03-01,267.7,2018-03-23,258.05,-3.6047814717967808,LOSS,MONTHLY_RESET,STOP_LOSS,269.08,265.11,True
2018-04-02,257.47,2018-04-03,260.77,1.281702722647271,WIN,MONTHLY_RESET,RAW_DECISION,260.77,263.56,False
2018-05-01,264.98,2018-10-11,272.17,2.71341233300626,WIN,MONTHLY_RESET,RAW_DECISION,263.2,275.95,False
2018-11-01,273.51,2018-11-08,280.5,2.555665240759031,WIN,MONTHLY_RESET,RAW_DECISION,271.89,277.76,False
2018-12-03,279.3,2018-12-04,270.25,-3.2402434658073798,LOSS,MONTHLY_RESET,STOP_LOSS,270.25,263.57,True
2019-01-02,250.18,2019-01-03,244.21,-2.386281877048524,LOSS,MONTHLY_RESET,STOP_LOSS,244.21,254.38,True
2019-02-01,270.06,2019-05-14,283.4,4.93964304228689,WIN,MONTHLY_RESET,RAW_DECISION,271.96,285.06,False
2019-06-03,274.57,2019-06-05,282.96,3.055687074334412,WIN,MONTHLY_RESET,RAW_DECISION,280.53,284.8,False
2019-07-01,295.66,2019-08-05,283.82,-4.004599878238524,LOSS,MONTHLY_RESET,STOP_LOSS,296.43,287.97,True
2019-09-03,290.74,2020-02-03,324.12,11.48104835935888,WIN,MONTHLY_RESET,DUAL_ACTION_ORDER_DEPENDENT,294.04,329.06,False
2020-06-01,305.55,2020-06-08,323.2,5.776468663066603,WIN,MONTHLY_RESET,RAW_DECISION,308.08,320.79,False
2020-07-01,310.52,2020-09-04,342.57,10.32139636738374,WIN,MONTHLY_RESET,RAW_DECISION,312.23,333.21,False
2020-10-01,337.04,2020-10-28,326.66,-3.0797531450272975,LOSS,MONTHLY_RESET,STOP_LOSS,333.84,326.54,True
2020-11-02,330.2,2020-11-05,350.24,6.069049061175047,WIN,MONTHLY_RESET,RAW_DECISION,336.03,350.16,False
2020-12-01,366.02,2021-02-01,376.23,2.789465056554308,WIN,MONTHLY_RESET,DUAL_ACTION_ORDER_DEPENDENT,366.79,381.55,False
2021-03-01,389.58,2021-03-02,386.54,-0.7803275322141756,LOSS,MONTHLY_RESET,RAW_DECISION,386.54,381.42,False
2021-04-01,400.61,2021-05-13,410.28,2.413818926137634,WIN,MONTHLY_RESET,RAW_DECISION,406.36,416.58,False
2021-06-01,419.67,2021-09-29,434.45,3.521814759215558,WIN,MONTHLY_RESET,RAW_DECISION,420.33,429.14,False
2021-10-01,434.24,2021-12-01,450.5,3.7444731024318223,WIN,MONTHLY_RESET,DUAL_ACTION_ORDER_DEPENDENT,428.64,457.4,False
2022-01-03,477.71,2022-01-06,467.94,-2.0451738502438643,LOSS,MONTHLY_RESET,STOP_LOSS,477.55,466.09,True
2022-02-04,448.7,2022-02-14,439.02,-2.1573434365946054,LOSS,RAW_DECISION,STOP_LOSS,447.26,446.1,True
2022-04-01,452.92,2022-04-11,439.92,-2.870264064293915,LOSS,MONTHLY_RESET,STOP_LOSS,456.8,416.1,True
2022-07-01,381.24,2022-07-20,394.77,3.548945546112669,WIN,MONTHLY_RESET,RAW_DECISION,381.96,398.79,False
2022-08-01,410.77,2022-08-11,419.99,2.244565085084127,WIN,MONTHLY_RESET,RAW_DECISION,408.06,427.1,False
2022-09-01,396.42,2022-09-14,394.6,-0.4591090257807351,LOSS,MONTHLY_RESET,RAW_DECISION,392.24,390.12,False
