scenario,stop_pct,n_trades,n_stopped_out,unlevered_arithmetic_sum_pct,leveraged_final_capital,leveraged_compounded_return_pct,leveraged_max_drawdown_between_trades_pct,any_wipeout
reset_before_rebalance,1,88,55,106.1738761236293,403.9756076120074,303.9756076120074,-48.27620900732483,False
reset_before_rebalance,2,88,44,98.42787870489917,329.58162169201637,229.5816216920164,-60.17354782744548,False
reset_before_rebalance,3,88,33,99.37620694470071,321.9084193232637,221.90841932326367,-70.49683740332384,False
reset_before_rebalance,5,88,15,123.67870483929798,434.6097776158588,334.6097776158588,-71.01963173898861,False
reset_before_rebalance,7,88,9,132.55701996248632,500.05111239934627,400.0511123993463,-75.68286847757787,False
reset_before_rebalance,10,88,4,126.49129477897822,435.8660665470491,335.8660665470492,-78.80414180956585,False
reset_before_rebalance,15,88,2,132.68218389707195,482.46227211684584,382.4622721168458,-76.53820132630248,False
reset_before_rebalance,20,88,1,133.0001291676624,478.8963091662298,378.8963091662298,-76.7116115796227,False
reset_before_rebalance,no_stop,88,0,149.8961734851557,708.1651766022527,608.1651766022527,-65.56242889570105,False
rebalance_before_reset,1,97,60,97.66337733010619,342.92244221104824,242.9224422110482,-42.89238733277914,False
rebalance_before_reset,2,97,49,84.85051728966353,254.08496327938684,154.08496327938684,-56.239549947732236,False
rebalance_before_reset,3,97,38,84.63765794335913,242.73140183992422,142.73140183992422,-68.28360531798864,False
rebalance_before_reset,5,97,16,106.08256374689914,307.1447343850582,207.14473438505817,-67.45407265116415,False
rebalance_before_reset,7,97,10,114.96087887008751,353.39302981030266,253.39302981030266,-72.69104420161646,False
rebalance_before_reset,10,97,4,108.89515368657938,308.03257112954685,208.03257112954685,-76.1963390337531,False
rebalance_before_reset,15,97,2,115.08604280467313,340.96275337624405,240.96275337624405,-73.65161173143338,False
rebalance_before_reset,20,97,1,115.40398807526358,338.4426380919023,238.44263809190232,-73.84635727280373,False
rebalance_before_reset,no_stop,97,0,132.3000323927569,500.470114274553,400.470114274553,-61.32545048646778,False
